Mode: chained; duration: 120.0s; speed: 150
Phase 1: forward 17 cm for 2.10s, then right 90 degrees for 2.68s
Circle mode: after 25.6s on P1110/P1111, or both within 1.0s, turn right about 42.5 degrees; auto-trace inside; sustained P1001 (0.1s) enters exit mode: drive 5 cm and turn right 50 degrees
Operator beside car, chassis secured, power ready to cut? (yes/no) Phase 1 starting: forward 17 cm
Phase 1 complete: turning right 90 degrees
Phase 2 starting: auto-tracing
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
  73.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.2s P0000 -> L60 R150: blind band; original-table correction
  73.2s P0000 -> L60 R150: blind band; original-table correction
  73.2s P0000 -> L60 R150: blind band; original-table correction
  73.2s P0000 -> L60 R150: blind band; original-table correction
  73.2s P0000 -> L60 R150: blind band; original-table correction
  73.2s P0000 -> L60 R150: blind band; original-table correction
  73.2s P0000 -> L60 R150: blind band; original-table correction
  73.3s P0000 -> L60 R150: blind band; original-table correction
  73.3s P0000 -> L60 R150: blind band; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; original-table correction
  73.4s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.4s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.4s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.4s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.4s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.4s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.4s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.5s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.6s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.6s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.6s P1100 -> L60 R150: left pair, needs >2.8cm of black; original-table junction correction
  73.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.7s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.8s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  73.9s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0000 -> L60 R150: blind band; original-table correction
  74.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.1s P0000 -> L60 R150: blind band; original-table correction
  74.1s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.2s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.3s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.4s P0000 -> L60 R150: blind band; original-table correction
  74.5s P0000 -> L60 R150: blind band; original-table correction
  74.5s P0000 -> L60 R150: blind band; original-table correction
  74.5s P0000 -> L60 R150: blind band; original-table correction
  74.5s P0000 -> L60 R150: blind band; original-table correction
  74.5s P0000 -> L60 R150: blind band; original-table correction
  74.5s P0000 -> L60 R150: blind band; original-table correction
  74.5s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.5s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.5s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.5s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  74.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.2s P0000 -> L60 R150: blind band; original-table correction
  75.2s P0000 -> L60 R150: blind band; original-table correction
  75.2s P0000 -> L60 R150: blind band; original-table correction
  75.2s P0000 -> L60 R150: blind band; original-table correction
  75.2s P0000 -> L60 R150: blind band; original-table correction
  75.2s P0000 -> L60 R150: blind band; original-table correction
  75.2s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.3s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.4s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.5s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0000 -> L60 R150: blind band; original-table correction
  75.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  75.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.1s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.2s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.4s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.4s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.4s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.4s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.4s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.4s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0110 -> L150 R150: centred or unresolved; original-table forward
  76.5s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.5s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.5s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.6s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.7s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.8s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  76.9s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.0s P0000 -> L60 R150: blind band; original-table correction
  77.0s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.1s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.2s P0000 -> L60 R150: blind band; original-table correction
  77.3s P0000 -> L60 R150: blind band; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.3s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.4s P0100 -> L110 R150: drifting left, slight; original-table correction
  77.4s P0000 -> L60 R150: blind band; original-table correction
  77.4s P0000 -> L60 R150: blind band; original-table correction
  77.4s P0000 -> L60 R150: blind band; original-table correction
  77.4s P0000 -> L60 R150: blind band; original-table correction
  77.4s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.5s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.6s P0000 -> L60 R150: blind band; original-table correction
  77.7s P0000 -> L60 R150: blind band; original-table correction
  77.7s P0000 -> L60 R150: blind band; original-table correction
  77.7s P0000 -> L60 R150: blind band; original-table correction
  77.7s P0000 -> L60 R150: blind band; original-table correction
  77.7s P0000 -> L60 R150: blind band; original-table correction
  77.7s P0000 -> L60 R150: blind band; original-table correction
